year,month,production_total,production_low_alc,production_medium_alc,production_high_alc,production_sparkling,production_hard_cider,yoy_production_change_pct
2018,3,57023248.0,18562576.0,4894175.0,4894175.0,2613336.0,2257487.0,3.22
2018,4,32794554.0,9092686.0,2189601.0,2189601.0,3716910.0,1243389.0,48.29
2018,5,30453325.0,8340046.0,1806116.0,1806116.0,3450122.0,1522695.0,9.8
2018,6,27971959.0,5723118.0,2000212.0,2000212.0,3574612.0,2561599.0,0.17
2018,7,16581971.0,2366979.0,2046040.0,2046040.0,2521740.0,1318425.0,-25.63
2018,8,78730421.0,22521572.0,12195399.0,12195399.0,2906569.0,1609535.0,-4.48
2018,9,277473737.0,122561489.0,11041073.0,11041073.0,2862001.0,2215499.0,-3.51
2018,10,340734800.0,162794592.0,3684973.0,3684973.0,2489025.0,1342654.0,-6.08
2018,11,272370677.0,129610644.0,2778240.0,2778240.0,2477981.0,1227420.0,3.15
2018,12,428069943.0,205336112.0,3020451.0,3020451.0,1459970.0,4053393.0,10.35
2019,1,160431143.0,73802882.0,2372629.0,2372629.0,2599540.0,1373670.0,65.41
2019,2,92782896.0,40148080.0,2401005.0,2401005.0,2506601.0,1150620.0,13.28
2019,3,75379011.0,27162631.0,5856245.0,5856245.0,2046000.0,2277319.0,32.19
2019,4,39197403.0,13777655.0,1537877.0,1537877.0,2955688.0,1241946.0,19.52
2019,5,36418278.0,11299792.0,1877601.0,1877601.0,3394658.0,1263160.0,19.59
2019,6,30092944.0,7138895.0,1643180.0,1643180.0,3389900.0,2636126.0,7.58
2019,7,23773878.0,5293791.0,1960053.0,1960053.0,2812968.0,1439539.0,43.37
2019,8,67766672.0,21632365.0,7984258.0,7984258.0,2779928.0,1279039.0,-13.93
2019,9,275147622.0,118294395.0,13743887.0,13743887.0,2789449.0,2629935.0,-0.84
2019,10,310736020.0,143951157.0,6698728.0,6698728.0,3427898.0,1207384.0,-8.8
2019,11,244701336.0,115121091.0,4232379.0,4232379.0,1756943.0,1179435.0,-10.16
2019,12,351679751.0,166468780.0,3769928.0,3769928.0,911935.0,4396282.0,-17.85
2020,1,154757327.0,70263208.0,2948474.0,2948474.0,2952145.0,1107876.0,-3.54
2020,2,65353355.0,24717286.0,4477705.0,4477705.0,2267616.0,1032813.0,-29.56
2020,3,59669571.0,22643142.0,1932025.0,1932025.0,2543454.0,2415050.0,-20.84
2020,4,42564137.0,16125143.0,1787948.0,1787948.0,2219335.0,967032.0,8.59
2020,5,33053941.0,11796833.0,1634413.0,1634413.0,2086895.0,909698.0,-9.24
2020,6,31766166.0,8488232.0,1922883.0,1922883.0,2884270.0,2376510.0,5.56
2020,7,24763201.0,6532582.0,2072785.0,2072785.0,2546839.0,1133347.0,4.16
2020,8,86646883.0,29259255.0,10068674.0,10068674.0,2514465.0,1295809.0,27.86
2020,9,266197714.0,122135109.0,6268187.0,6268187.0,2001516.0,2500937.0,-3.25
2020,10,275624626.0,128022722.0,4869925.0,4869925.0,3303235.0,1510577.0,-11.3
2020,11,201127494.0,94062978.0,2459883.0,2459883.0,2718666.0,1113874.0,-17.81
2020,12,297310785.0,139051311.0,2568632.0,2568632.0,1860336.0,4931427.0,-15.46
2021,1,97740203.0,43402954.0,2027194.0,2027194.0,1516716.0,1663554.0,-36.84
2021,2,98857724.0,41303513.0,3872954.0,3872954.0,2287511.0,1723178.0,51.27
2021,3,62966763.0,22535519.0,2408784.0,2408784.0,2980289.0,3158455.0,5.53
2021,4,29618071.0,8708705.0,1649764.0,1649764.0,2599444.0,1587604.0,-30.42
2021,5,23844296.0,5246174.0,1774112.0,1774112.0,3052437.0,1507958.0,-27.86
2021,6,31989559.0,6956692.0,2109199.0,2109199.0,3090036.0,3427849.0,0.7
2021,7,21181185.0,2324756.0,2738534.0,2738534.0,3398049.0,1840024.0,-14.47
2021,8,70396877.0,26544493.0,,,,1559503.0,-18.75
2021,9,227227698.0,101400305.0,6338076.0,6338076.0,2698021.0,2940741.0,-14.64
